count,date,title,description,org_link,link
444,2024-08-15 11:01:00,올해 7월 ICT 수출입…72억8000만 달러 흑자,"반도체(112억3000만 달러, 49.0%↑) 수출은 <b>인공지능</b>(AI) 시장 성장, IT기기 시장 회복에 따른 반도체 수요 확대 등으로 전체 반도체 수출은 9개월 연속 두 자릿수 증가세를 보였다. 메모리는 고정 거래가격 상승... ",http://www.inews24.com/view/1753314,https://n.news.naver.com/mnews/article/031/0000862183?sid=105
445,2024-08-15 11:01:00,"[넥스트 반도체 핵심 '경기기업'⑤]아이에스시, 테스트 소켓 기술로 북미 시장...",아이에스시는 초기 메모리 반도체 중심의 포트폴리오에서 벗어나 <b>인공지능</b>(AI) 반도체를 비롯한 비메모리 반도체 테스트 소켓 매출 비중이 85%에 이른다. 이 중 북미를 비롯한 해외 매출 비중이 80%가 넘는 등 한국을... ,https://www.etnews.com/20240814000190,https://n.news.naver.com/mnews/article/030/0003231840?sid=105
446,2024-08-15 11:01:00,[김미정의 AI키트] AI에게 줄 데이터가 부족하다…합성데이터 대안 될까?,"누구나 매일 쏟아지는 <b>인공지능</b>(AI) 기사를 [김미정의 AI키트]로 한 눈에 볼 수 있습니다. AI 기술부터 산업, 정책, 트렌드 등 관련 이야기를 이해하기 쉽고 맛있게 보도하겠습니다. [편집자주] 생성형 <b>인공지능</b>(AI) 모델... ",https://zdnet.co.kr/view/?no=20240814142010,https://n.news.naver.com/mnews/article/092/0002342210?sid=105
447,2024-08-15 11:00:00,ICT수출 4개월 연속 30%대 증가세…반도체 수출 9개월째 증가,"<b>인공지능</b>(AI) 시장 성장으로 반도체 수요가 지속 늘면서 반도체 수출이 9개월 연속 두 자릿수 증가를 이어가고 있다. 디스플레이, 휴대폰, 컴퓨터·주변기기 등도 수출 호조를 나타내며 정보통신산업(ICT)이 4개월... ",http://news.mt.co.kr/mtview.php?no=2024081416150349114,https://n.news.naver.com/mnews/article/008/0005077427?sid=101
448,2024-08-15 11:00:00,뉴욕 필·함부르크 필·메트 오페라 오케스트라 악장이 한 무대에…'힉엣눙크...,토드 마코버 미국 매사추세츠공대(MIT) 미디어랩 교수의 생성형 <b>인공지능</b>(AI)을 활용한 신작 '플로 심포니'도 세계 초연으로 선보인다. 이들은 강효 줄리아드 음대 교수가 1994년 8개국 출신 연주자와 함께 만든... ,https://www.hankookilbo.com/News/Read/A2024081412430000386?did=NA,https://n.news.naver.com/mnews/article/469/0000817878?sid=103
449,2024-08-15 11:00:00,7월 ICT 무역수지 73억불 흑자…반도체 등 높은 성장세,"<b>인공지능</b>(AI) 시장 성장, IT기기 시장 회복에 따른 반도체 수요 확대 등으로 전체 반도체 수출은 9개월 연속 두 자릿수 증가세를 보였다. 특히, 메모리는 고정 거래가격 상승 및 HBM 등 고부가 품목 수요 증가... ",https://www.dt.co.kr/contents.html?article_no=2024081502109931044004&ref=naver,https://n.news.naver.com/mnews/article/029/0002895339?sid=105
450,2024-08-15 11:00:00,"ICT 수출, 7월 190억불 달성 '흑자'···30%대 성장 지속","이는 <b>인공지능</b>(AI) 시장 성장, IT기기 시장 회복에 따른 반도체 수요 확대 등에 따른 영향으로 풀이된다. 전체 반도체 수출은 9개월 연속 두 자릿수 증가세를 이어갔다. 특히 메모리는 고정 거래가격 상승 및 HBM... ",http://www.enewstoday.co.kr/news/articleView.html?idxno=2164360,http://www.enewstoday.co.kr/news/articleView.html?idxno=2164360
451,2024-08-15 11:00:00,&quot;반도체 날았다&quot;…ICT 수출 4개월 연속 30%대 증가,"반도체는 <b>인공지능</b>(AI) 시장 성장이 반도체 수요 증가를 이끌면서 총 112억 3000만 달러를 수출해 9개월 연속 두 자릿수 증가대를 나타냈다. 메모리(68억 달러, 89.0%), 시스템(39억 2000만 달러, 12.9%) 모두... ",https://www.news1.kr/economy/trend/5511350,https://n.news.naver.com/mnews/article/421/0007731783?sid=101
452,2024-08-15 11:00:00,&quot;반도체·디스플레이 수출 호조에 ICT 수출 4개월 연속 증가&quot;,"반도체 수출은 <b>인공지능</b>(AI) 시장이 성장하고 IT 기기 시장이 회복하면서 반도체 수요가 늘어, 9개월 연속 두 자릿수 증가했다고 과기정통부는 설명했다. 특히 메모리는 고정 거래 가격이 상승하고 HBM 등 고부가... ",https://www.yna.co.kr/view/AKR20240814142700017?input=1195m,https://n.news.naver.com/mnews/article/001/0014876361?sid=105
453,2024-08-15 11:00:00,7월 ICT 수출 32.8% 증가한 194억달러…반도체 '9개월 연속 두자릿수',"<b>인공지능</b>(AI) 시장 성장, IT기기 시장 회복에 따른 반도체 수요 확대 등으로 전체 반도체 수출은 9개월 연속 두 자릿수 증가세를 보였다. 메모리는 고정 거래가격 상승 및 HBM 등 고부가 품목 수요 증가... ",https://www.newspim.com/news/view/20240815000023,https://www.newspim.com/news/view/20240815000023
