평점,리뷰
5.0,"도쿄에 가면 이노가시라씨가 가는 음식점을 가보고싶다.
구루메투어!"
3.5,"우마이 ! 오이시 !
눈으로 먹는 즐거움, 소소한 행복
뜨끈뜨끈해진다..."
5.0,1편보고 닭꼬치 먹고싶어짐
3.5,"독특하다... 어떻게 이렇게 안지루하고 집중하게
만든것인가...  배고파진다"
3.5,하라가.....헷타 (zoom out) (zoom out) (zoom out)
4.0,고로 아재 너무 귀엽다.....
4.0,"세상에 이노가시라 음식을 항상 너무 맛있게 먹는다... 음식을 만나기 이전에 이노가시라가 삶에 찌들어 얼굴 구길 때마다 왜 이리 웃긴지 모르겠는데 육성으로 터진다 ㅋㅋㅋ 그리고 날 정면으로 응시하면서 대놓고 '이걸 먹어보이겠다!'고 쇼하는 먹방이 아니라 정말로 음식을 온전히 즐기는 개인의 모습을 옆에서 지켜보는 것 같아서 부담없이 절로 음식을 먹고 싶어지는 게 좋다.
+ 그 와중에 여기 등장한 맛집들을 작가가 에피소드 말미에 소개해주는 부분 보면서 일본이 얄미울 정도로 콘텐츠 개발을 잘한다고 생각했다 ㅠㅠ 우리나라 맛집들도 이렇게 소개해줄 수 있는 재미있는 콘텐츠가 많아지면 좋겠네."
4.0,"""고민될 때에는 둘 다 먹으면 되잖아 !""
귀중한 삶의 철학 배워갑니다."
4.0,"행복하다..❤️
고독하지만 외롭지않고 따듯한 혼밥"
5.0,고로상 언제 한 번 밥 한 끼 합시다!
4.0,아무 동네나 가도 맛있는 식당이 천지니 미슐랭을 일본이 휩쓸지.
5.0,고독해보이지만 행복한 미식가
4.0,일본음식 마니아들을 만들어버릴거같은 기막힌 드라마
4.5,"시즌6와 7을 먼저 접하고 1을 보았다
음식이야기가 주를 이루는 뒷시즌에 비해 진정한 소시민의 삶을 보여주고 여운까지 남았던 최고 레전드시즌인 것 같다"
5.0,이 아조씨만 따라가면 맛있는거만 계속먹겠네
4.0,나 도쿄 갈 거야. 진짜 간다.
4.0,"시간과 사회에 얽매이지 않고 행복하게 배를 채울 때
잠시동안 그는 이기적이고 자유로워진다."
3.5,중독적이지도 자극적이지도 않지만 익숙하고 편한 흰 쌀밥같은 느낌.
4.0,나를 배고프게 만들었어 .. 그런데 점점 고로 많이 먹는다
3.5,한번쯤은 이렇게 먹어보는 상상을 한다
4.0,"고독한 먹방
보는 내내 행복했다"
4.5,단순 명료한 푸드 포르노의 마력
5.0,이렇게 맛있는 음식을 맛있게 먹는데 별 5개로는 모자라다.
4.0,"우마이!
+) 심야식당 류짱이 고로상였다니ㅋㅋㅋㅋㅋㅋ 심야식당 재탕하고 나서야 알았다.."
4.0,음식을 맛있게 먹는 것만 봐도 행복해지는 드라마. 그리고 고로짱의 일상에피도 소소하니 즐겁다.
보고싶어요,"예상평점 5.0 뜨니까 궁금해져
-----
1화 봤는데 완전 내 취향인거 같다
혼자 맛난거 맘껏 먹으면서 여유로움 느끼고
어두워질쯤에 다른곳으로 발걸음 옮길때
너무 좋음..
1화 봤더니 내 경험 떠올라서 두근두근해따.."
3.5,먹는 행위 자체도 드라마가 될 수 있다.
4.5,"봄(はる).. 아니, 배(はら)가 고파졌어."
4.0,"자극적인 장면 없이, 이렇게 끌리는 드라마를 볼 줄이야"
3.0,うまい！
4.5,심야식당과 비슷하면서 다른 포맷이 참 맘에든다
5.0,혼밥의 정석
3.0,혼밥할 때 슴슴하게 보기 좋다.
4.5,이보다 더 먹고 싶을수 없다.
5.0,마음이 노곤해지는 고로상의 먹방 일기. ‘조급해 하지마- 나는 지금 배가 고픈 것 뿐이야.’
4.5,이노가시라 아저씨와 함께 아침을 먹는다. 어쩐지 두그릇은 먹어야할 것 같은 기분.
5.0,하나도 안지루하고 오히려 즐겁다 우마이 우마이~
3.5,"나도 뭔가, 굳이 모든이에게 특별하지 않아도 되는 인테리어의, 페북 인스타에 걸려있지 않고 특별하지 않아도 되는 유명세의. 나만의 특별한 식당을 가보고싶다.
정말 그냥 '맛있다' 이 하나만을 느낄 수 있는."
4.5,"새벽의 대리만족, 우마이"
4.5,배고프게 해서 -0.5..
4.0,맛있는 행복 .. 꿀꺽
4.0,보다보면 어느새 젓가락이 내 손에 들려있다!
4.0,나도모르게 몇번 우마이 했는지 세고있었다
4.0,미슐랭과는 다른 서민적인 식당 가이드.
4.5,밥이 맛있다는 건 행복이다.
3.5,연쇄 식도락마의 일상.
4.0,전설의 시작. 다양한 스토리를 드라마 하는 환경이 부러울따름.
3.5,"오덕의 영역확장 
가장 기초적인 욕구와 감각을 탐구하는 서바이버"
3.5,인자나이까 우마이 하~~~
4.0,이분 흑백요리사 안나오나요?
5.0,전설의 시작 ㅠㅠ
3.5,오래된 밥친구… 밥어르신? 절묘한 주인공 캐스팅
5.0,최고의 밥메이트
5.0,2021.12.05(일) ~ 2021.12.12(일)
4.0,허기와 음식에 대한 담백한 시선(4.0)
보는 중,집에서 혼밥할땐 고로상
3.0,사람들이 점점 생각이 불필요한 것들을 영상매체에서 찾기 시작했다.
2.5,고노상이 보여주는 음식에 대한 태도가 좋다.
4.0,식사는 현대인에게 치유이자 의식이다.
5.0,고로짱 우마이 데스카?
4.5,혼밥 밥도둑 고로아저씨. 항상 맛있게 잘 보고있습니다!
3.0,"아주 몰입하게되거나 아주 재미있는것은 아닌데, 이상하게 가끔 한편씩 보게되는 묘한 매력이 있다"
1.0,노잼
5.0,별 말 필요없고 ♡도 드세요.
