평점,리뷰
3.0,"분명히 다 봤는데 쿨타임 돌면 또 틀어놓고 딴 짓하게
되는 마성의 드라마"
4.0,일본을 더 가고싶게 만든다 정말
4.5,레전드가 될 작품의 첫 시즌답게 이후의 시즌과 다른 모습을 보인다. 첫 시즌은 스토리를 위주로 진행하는 모습을 보인다. 하지만 뒷 시즌들은 이러한 잔가지 등을 많이 가다듬었으면서 첫시즌의 스타일에서 크게 벗어나지 않았다.
5.0,"그의 독백을 통해, 
사람이 밥 먹는 순간에 이렇게 집중할 수도 있다는 걸 깨닫는다."
4.0,느리지만 맛을 묘사하는 그의 설명을 듣다보면  어느새 나도 음식을 먹고있는듯하다.
4.5,왓차플레이에 추가해주세요...
4.0,고로상 실제로도 술 못마시는건 아니겠지?
3.5,이노가시라 고로의 시작. 맛있게 먹는 모습이 이렇게 즐거울 수 있다는 걸 보여주는 작품. 내가 가지고 있던 마츠시게 유타카라는 배우의 안목을 넓혀준 작품.
4.0,"가장 좋아하는 일드!
매 시즌 같은 포맷이지만 직관적으로 “배가 고파”를 외치며 가게를 찾아 음식을 먹는데 너무 맛있게 먹어서 전혀 지루하지가 않아."
3.5,bj우마이 전설의 시작
4.0,음식 뿐 아니라 중년의 개인사업자로서 느끼는 다양한 사회 생활의 단면을 담백하게 소개. 굳이 음식과 악지로 연결하려고 하지 않는 자연스러움도 좋다
4.0,우마에!!
3.5,“조바심 내지 마 난 배가 고픈 것 뿐이야 もぐもぐもぐ”
4.0,볼때마다 짜증났다. 갑자기 배가 고파졌기 때문에
3.0,앞으로 먹방은 이걸로.
3.5,다이어트 중인데 식욕 돋아서 미칠 것 같음. ;;
3.5,"(스타카토)
아.에.이.우.에.오.아.오.아.에.이.우.에.오.아.오.나.카.가.해.타. (뚠, 줌 아웃) (뚠, 줌 아웃) (뚠, 줌 아웃)
-에피소드10-"
4.0,이거 보다가 급 땡겨서 같은 (혹은 비슷한) 메뉴로 외식한 날이 몇 번인지.. 본격 텅장 드라마.
4.5,"재미라든지 내용이라든지 먹방이라든지 어느것 하나 휼륭하다고 생각이 안든다
근데 계속보게되고 나온식당을 가고싶다 
이유는 잘 모르지만"
4.5,먹는것은 즐거운 일이다.
3.0,고로상의 평범한 먹방이 드라마를 특별하게 만들어준다
4.0,우마이...
4.0,"그런 먹방이 아닌 잔잔한 삶을 share하다
보다보면 어느새 일상의 고단함과 어려움을 잊고, 아재개그에 픽- 웃게된다"
5.0,한 편당 25분 이내로 가볍게 보기좋다. 다양한 요리를 간접체험할 수 있어 일본여행의 욕구가 마구 솟아난다. 단점은 배고플때 보면 더 배고파진다.
4.5,맛있는 프로그램 보고만 있어도 행복하다
4.5,혼밥할 때 최고의 친구
3.5,"아삭한 피망에 쯔꾸네를 꾹 눌러담아 먹는것이
인생의 목표가 되어버렸다."
5.0,잘먹음
4.0,아...밥먹고싶어졌다
4.0,"이게 뭐라고....
이 아저씨 밥 먹는걸 왜 나는 뚫어지게 보고있지??"
5.0,생각보다 재밌음
4.0,그 눅눅한 여름날 친구집에서 우리는 불닭을 먹으면서 그와 상반되게 갈비를 먹는 아재의 모습을 지켜보기란... 남루한 꼴이 말이아니었다.
3.0,고로상이랑 친구하고 싶음
2.0,시즈오카 오뎅 빼곤 일본 골목 구석 어딘가에서 쉽게 찾을 법한 음식들만 잔뜩 등장한 시즌1. 그래도 밤에 보고 있으면 고로상의 소소한 먹방이 식욕을 미친듯이 돋굼.
4.0,그냥 먹는 드라마. 드라마속 주인공이 실제 일본에 있는 식당에서 음식 먹는것을 찍어놓은 드라마.드라마가 끝나고 난 후 원작자가 다시 실제 그집을 찾아가 또 름식을 먹는다. 음식 먹기 전의 에피소드는 그냥 끼워넣음. 아무 연관성이 없다. 차라리 백종원의 스트리트 푸드 파이터가 더 재미있음.
4.5,밥을 너무 맛있게 먹어서 나도 배고파짐
5.0,우마이!
3.0,다른사람먹는거보고 내 배가 불렀다
2.5,고로의 먹방도 좋지만 끝나고 원작자가 찾아가서 한 잔 하면서 먹는 게 더 끌린다.
3.5,내 취향 아님 따흑
4.5,보기만해도 배가 고빠지는 드라마~
2.0,고로상❤️❤️❤️
3.5,배고파진다
4.0,나른한 주말에 보기 참 좋은🍲
3.0,한국에서 리메이크하면 하정우랑 이명박중에 누구를 넣어야할까
2.5,음식 나오는 장면만 봄
4.0,"배우가 먹는 연기를 못함 
극중 이미지와 좀 안맞는편
하지만 음식을 구경하는 재미는 쏠쏠"
4.0,짧은 스토리. 많지 않은 대사. 배고프다할때의 줌아웃은 포인트. 심플함이 느껴지는 드라마 맛있는 영상도 포인트. 추천합니다
4.0,"진짜, 너무 맛있게 먹으니까 배고프다 못해 질투난다."
2.0,배고픈 밤에 보면 몰입만점
2.5,"밥 먹을 때 보면 같이 먹는 기분.
근데 그다지 먹음직스러워보이진 않아 난..
플롯도 뭔가 이상ㅋㅋ
그나저나 미식가인게 맞나? 아니면 맛집 레이더라도 있나? 아무데나 들어가도 다 맛있대. 나도 맛집 레이더 있었으면 좋겠네"
4.0,"아저씨, 참 복스럽게 드시네요 :)"
5.0,우마-이
4.0,밥 먹을때 보기 좋아
4.5,"맛있게 먹어서, 보는사람을 배고프게 할 수 있다면 그걸로 좋다고 말할 수 있겠다
공복은 전염이다.
띵... 띵....... 띵!!"
4.0,"타코라이스 같은 타코라이스군
타코라이스다. 타코라이스다.
타코라이스 같은 맛이군."
5.0,"심야식당의 마스터가 ""어서오세요"" 를 말한다면 우리의 고로상은 ""배고프다"" 를 외친다."
4.0,원작자 아저씨 멘트 넘모 커엽다 ㅋㅋ
3.0,"시리즈 6편이 있는데 다 별점 매기기에는...
먹방조아"
4.0,따라다니고 싶다.
4.0,이!노!가시라!
3.0,"# 음식과의 기막힌 짧은 마라톤
# '우마이'가 머릿속을 맴돈다"
4.5,눈이 행복하긴 하지만. (왓챠플레이)
4.0,이 작품 을 계기로 왓챠 플레이 를 사용 하게 되었다
4.0,먹고싶어진다... 우마이!!
5.0,"""여기의 밥이라면 부모님도 안심하시는구나."""
3.5,내 위장은 뭘 먹고싶은걸까?
4.0,"요즘 먹방보는 재미에 빠졌는데, 먹방하면 고로상 아니겠나. 
아으아으 보는내내 일본가구싶어서 혼났네"
4.0,배가 고파졌다..!
5.0,아씨 재밋엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 피망 소리가 그렇게 아삭할 일이냐구 ㅠㅠ 어디서 저런 저작근을 가진 배우를 데려와서는..
2.0,대학시절 자취방에서 늘 혼자밥먹던 나와 함께 밥을 같이 먹어주신분....뭔가 혼자 있을때 집에 들어가면 외롭다고 생각했는데 고독한 미식가를 보고 언제부턴가 혼자가 즐겁기 시작했다.
4.0,개인적으로 먹는걸 좋아해서 먹방은 모 야메롱다
3.5,미식한 고독가.
4.0,고로~~고로~~이!노!가!시!라!
4.0,영원히 고기를 먹을 수 있을 것 같아
4.0,정말 맛있게 드신다....먹방계의 혁명. 일본 아재의 꼰대스러움이 묻어나는 앞부분은 패스패스하고 먹는 것만 보도록 하자.
5.0,배우의 섬세한 표정연기가 식욕을 더 자극시킨다
4.0,하라가... 헸데키따!
4.0,밥을 먹는걸로 이런 기쁨이
5.0,"사실 계속 반복되는 장면이 조금 지루하고 일드 특유의 느낌 덕에 거북할수도 있지만 다채로운 음식과 일본의 배경을 엿볼수있는 일드.
주연인 고로상의 연기가 굉장히 자연스러워서 불편하지않게 볼 수 있다."
4.0,"대박입니다.절대욕해서는안될 드라마ㅜㅜ
고로짱"
3.5,"온갖 오버를 하며 먹는 먹방과는 달리, 잔잔한 맛평가가 일품"
3.5,고로 아저씨 먹는거 보고 있으면 먹고 싶어 골로 갈 것 같다.
5.0,이노가시라 혼밥 마스터
5.0,당연 '아 먹고싶다.' 라는 생각도 들지만 '아 떠나고싶다' 라는 생각이 머리를 꽉 채운다.
3.5,"소란스럽게 안먹어도 오감만족 시키면서 찰지게 맛있다
요새 우마이병과 고로코스프레에 빠져산다"
4.0,우마이 =_ㅇ!
5.0,배고파진다
4.0,고로~  고로~
4.5,"아저씨, 팔자 좋다..."
5.0,우마이..!
4.5,사람의 욕구는 그 순간만큼은 우리를 자연인으로 돌아가게해준다.
4.0,이-자나이까
3.0,그냥 아저씨 혼자 밥 먹는 건데 왜 계속 보게 되는 건지 알 수가 없다.
5.0,영상보다 소리가 일품이다
5.0,이 시리즈의 모든게 좋다. 고로상이 먹는걸 보고있으면 나도 덩달아 속이 허한게 채워지는 기분.
5.0,10시 이후엔 19금으로 지정해야!
5.0,먹방드라마의 신계 참고로 여기 나온 음식점은 진짜 가봐야 한다 도쿄의 보라x 가봤는데 정말 한국에서는 접해 보지 못했던 맛이었다 같이 간 동생이랑 감탄하며 먹었던 기억이 ㅠㅠ 또 가보고 싶은 곳 맛집 중 1위 진짜진짜 검증된 맛집뿐이다
3.0,자취생의 필수 프로그램
4.5,먹방에 대한 욕망이 포르노의 그것과 비슷하다는 누군가의 말이 설득력있는 드라마. 요즘은 뭘 먹을때 속으로 이아저씨 말투를 자꾸 따라하게 된다
4.0,드디어 시즌 1 완결.
4.5,이 아저씨는 가정식부터 케이크까지 다 먹는다. 팬케이크 먹으러갔을때 좀 의외였는데 더 의외인건 혼자가서 혼자 잘 먹는다는 점.
3.5,보고있으면 나도 먹고 싶어지는 그런 밤에 보면 안되는 드라마
3.0,아저씨가 계속 먹는데 그기 뭐라고 계속보게되고...
3.5,나는 분명 밥을 먹었는데 배고프닼ㅌ
4.5,이상하게 먹을걸로 집중시킴
4.0,"보는 것만으로 맛이 느껴지게 만든 고로 아저씨의 연기, 힘을 뺀 스토리"
5.0,"혼밥을 욕하는 무식한 어떤 사람도 있던데
난 혼밥을 즐기고 있다.
식사 한끼 떼울때도 있지만
맛있는 음식을 먹으면서 행복을 느끼고
음식이 탄생하기까지 수고한 모든분들께 감사를 한다."
4.0,화로구이 최고예요.
4.0,"배고플 때 본다,,,깔끔하게 먹기만 해서 더 좋음"
3.5,"보다가 질릴수도
많은음식소개해주려는건지 많이먹는다"
4.5,"이 드라마가 한국에서 만들어졌다면...
배우가 연기하는 
생방송 투데이가 되었을 것이다."
4.0,우마이~
4.5,미식한 고독가 ..
4.0,고로짱이 다 먹고 크아아아 할때 내가 다 뿌듯함
4.0,"우리나라에 맛있는 녀석들이 있다면
일본에는 고로상이 있다"
4.0,인상 쓴 키 큰 아저씨가 오늘은 어떤 맛있는 음식을 먹을지 기대하게 된다.
4.0,"혼자서 이상할 정도로 많이 먹는다
근데 자꾸 보게 됨.."
4.5,"배가 고파졌다
딴.
딴.
딴!"
3.0,"하라가 헷따. 기승전배고프다임ㅋㅋㅋㅋㅋㅋㅋㅋㅋ고로~고로~ 이노가시라! 후!
보다보면 평소에 못먹는 음식이라도 고로상이 먹고있으면 왠지모르게 갑자기 먹을수있을것같고 먹고싶어진다"
5.0,아.. 배고프다
4.0,우마이!
4.0,"이거 보면서 밥먹으면 소화도 더 잘되는 기분,,🍙🍱"
4.0,"화로구이 편은 볼 때마다 콧구멍이 벌렁벌렁
식욕 돋우는 데 직빵 ㅋㅋ"
3.5,꾸밈없는 식사 광경이 풍기는 진한 매력
4.5,"단출하지만, 그렇기에 마음껏 즐길 수 있는 '나'를 위한 식사"
4.0,데모 하라가 헽다...
5.0,"류쨩, 우인나 말고도 잘 먹네."
3.0,일본만이 만들수 있는 먹방의 지존
4.5,"일반적인 드라마의 재미와는 다른.
집에서 먹는 밥. 밖에서 먹는 밥.
모든 식사를 이런 자세로 해야한다는 생각이 들게하는.
감사하는 마음으로 기쁘게. 긍적적으로.
""밥이 맛있다니 행복해""
매 숫가락. 매 젓가락. 즐겁게 맛있게.
아무 생각없이 급하게 배채우며 먹는 것이 아닌.
내게는 교훈적이고 교육적인 영감을 주었던.
하지만 열심히 계속 보고싶지는 않음."
4.0,"1. 뭔데 진짜.. 그냥 일반적 메뉴 느낌인데 엄청 맛있게 먹네ㅠㅠ 고로상 먹방계 지존...
2. '하라가 헷타.' 할 때 너무 웃김ㅋㅋㅋㅋㅋㅋ"
4.0,저 체구에 어떻게 저렇게 잘 먹을수가 있지?
4.0,왜 고로상은 술을 못 먹는걸까요....
4.0,"어떤 편이 있었는지 기억이 나지 않는다.
하지만, 시즌 1을 몇 번이나 반복해서 봤다는 건 기억한다."
5.0,"심야식당은 스토리 위주라 아쉬웠는데 고독한 미식가 너무 좋구요,, ꒰⌯͒•̩̩̩́ ᴗ •̩̩̩̀⌯͒꒱ 고로상 너무 맛있게 먹음 ㅠㅠ 작가 엄청 젊어 보이시는데 만화를 17년 전에 그리셨다니.. 몇살이신거야...!"
3.5,"고로상고로상고로상고로상고로상
고로상고로상다이스키고로상고로상
고로상고로상고로상고로상고로상고로상
고로상다이스키고로상고로상고로상고로상"
3.5,이 드라마에선 전구나 형광등도 맛있게 먹을 거 같다.
5.0,급박한 삶에서 미식이란 여유를 말하다.
4.0,원작  초월! 가공할 위꼴
4.5,8화가 압도적. 보면서 진짜 즐거웠다ㅎㅎㅎ 나도 저렇게 먹어야지
3.5,없던 입맛도 살려내는 고로아재 리액션
4.0,"앞 부분 상황설정 드라마가 좀 어설픈 게 아쉽지만, 그래도 나머지가 다 좋은 드라마."
4.0,우~마이!
5.0,"고로상, 난 멀찍이 앉아서 맥주를 마실테니 우리 <고독한 미식가들> 찍는거 어떻습니까?"
3.0,현대인의 혼밥본능을 100%충족시켜줄 수 있는 사람. 이노가시라상.
4.0,아무데나 가도 맛있게 먹을 수 있는 위대한 대식가의 서사
3.0,고독해보이지만 음식을 탐닉할땐 혹해보인다
5.0,"혼밥, 혼술의 원조~
물런 과하게 낭만적이지만.."
4.0,"나도...
배고파졌다."
4.5,나온거 다먹고싶어서 미치는줄 알았음..최고
4.0,우마이...!
3.5,빨리 일본 워홀 가고싶다!!
3.0,고로상 덕분에 도쿄여행 맛있게 먹고왔어요
4.5,똑같은 반복. 그 안에 작은 변주. 흔한 맛집소개 방송의 드라마 버전.
보고싶어요,취저 2
4.5,보고싶드아..!!!!!!!
4.0,고로~ 고로~ 고로~
3.0,담담하고 부산스럽지않아서 좋다
3.5,"밥 먹기 30분전에 습관처럼 한 편씩 봤다. 이 중에서도 에피소드 11이 제일 좋았다. 심야식당이 떠오르는 식당, 한번 더 다뤄줬으면 좋겠다"
4.0,"이 드라마가 유명해지기전, 처음 이 드라마를 보았을 때 ""무슨 이런 드라마가 다 있지?""라고 생각했다. 그러나 지금은, 길거리를 지나치며 한시바삐 움직이는 수많은 고로상들을 보며 ""드라마가 아니라 다큐멘터리 였어."" 하며 스스로 감탄했던 기억이 난다."
4.0,새벽에 보면서 내 스스로를 고문시킨다...
4.0,드라마를 보는 동안은 아무 생각이 들지 않는다.오로지 식욕뿐.
2.5,혼밥은 취향일뿐. 동정받거나 창피해할 대상이 아니다
3.5,"일상생활 흡연 우마이...
그 이상은 없다"
4.0,참 일본은 문학적인 나라임을 보며주는 티브이물
3.5,갑자기 배가 고파졌다
4.0,이 아조시 밥먹는연기 ㄹㅇ 찰진다. 일본 식도락 여행 떠나고프게끔 만드는 작품
3.5,연달아 봤더니 반복되는 플롯에 조금 질리다가도 맛있어보이는 음식만 나오면 멈칫하게 됨
4.0,너무많이먹어 이아저씨
4.0,우마이!
4.0,역시! 하라했다...
4.5,맛있어! 할때 그 표정이 너무 귀여워
5.0,새벽에보면서 눈이 즐거웠다
2.5,고로~고로~이노가시라 호우!
3.0,정말 잘 먹는다.
5.0,시작은 흥미로웠으나 이내 지루해졌다
3.5,"인민군 고문할 일 있으면 공복인 상태일 때
묶어 놓고 이거 계속 보여줄 거다"
4.0,잘 먹겠습니다. 이 한 마디에 담긴 오롯한 만족감으로의 산보
4.0,우마이!
3.0,식사예절을 다시 익히는데 직빵.
4.0,식욕증진에 도움
3.5,일본으로 고독한 미식가 식당 투어 가고싶다
4.0,"내용도 음식도 노래도 주인공도
모두 군더더기없이 간결하다."
5.0,"고독한 미식가 시즌5주터 봐서 그런지..
초기 시즌이 부하다고 해야하나.. 속 빈 강정 같네요"
3.5,"플롯, 스토리, 연출 전부를 내버리고 오로지 음식 하나로.
한 때 먹는 것으로 해방감을 느끼던 내가 떠오른다.
소박함이 좋다."
5.0,무뚝뚝한 아저씨의 조금 활기찬 음식평. 음식을 씹을 때의 부정교합마저 사랑스러운 고로상...
5.0,"시간이나 사회에 상관없이 극심한 공복이 찾아왔을 때 잠시 동안 그는 자기 멋대로 되고, 자유로워진다. 
누구에게도 방해 받지 않고, 먹고 싶은 것을 먹는 자신에게 주는 포상. 이 행위야말로 현대인들에게 평등하게 주어진 최고의 치유 행위라고 할 수 있다."
4.0,고로상과 밥 한 번 먹고싶다.
3.0,"보고있으니 나도 갑자기 배가 고파지는구나
하라가헷다!!"
5.0,맛있다....!
5.0,짱마싯게머금
3.5,시즌 2부터는 안올려주시나요??
4.5,이이쟈나이까ㅡ
3.5,굳이 말이 필요없는 드라마가 아닐까 싶다.
5.0,맛있는걸 맛있게 먹는 시점에서 이미 끝났다
4.0,아 위꼴. 편의점식고ㅓ  컵라면 먹으며 이걸봤는데  만족감과 자괴감이 동시에 찾아옴.
5.0,배고파..
3.5,식욕 재활 드라마
4.0,고로~ 고로~ 이!노!가시라!
4.0,진짜 잘먹어서 아무 생각없이 보게된다
4.0,우마이
4.0,나도 혼자 밥을 먹을 수 있는 용기를 주었다
4.5,우마이!!
5.0,우마이!
3.5,"이때부터였을까, 내 배가 고프기 시작했던 것이."
4.5,저아저씨가 맛있게먹을때마다 화가난다
4.5,잔잔하지만 그 어느 먹방보다 식욕을 자극시킨다
4.5,맛있다는 표현을 이렇게 해낸다.
4.0,"이상한 흡입력
재야의 대식가"
4.5,쉽게 질릴 수 있는 소재를 빛나게 하는 마츠시게 유타카의 독백 연기
5.0,......우마이~!!
4.5,일본음식을 정말 맛있게 먹는 모습을 보고 일본음식에관심을 가지게 되었다
3.0,고독한 대식가
4.5,맛있는거 먹고 담배피면 기분이 조크든여
4.0,"이유없이 좋은 것, 뛰어나지 않아도 만족스런 것. 모두가 아는 사소한 그러나 지켜지지 않은 것들을 지키는 고로상을 보면 유치원에서 처음 급식을 먹으며 식사에도 예의가 필요하단것을 깨달은 어린 내가 떠오른다."
4.0,주름살 매력
3.0,정말 일본에가고싶다!!
5.0,다 좋은데 너무 빨리 드세요 !
1.0,호들갑 떨지 않고 본능이 이끄는 대로 집중하는 모습이 좋았다
4.0,보고있음...배고파지는....크흡...
5.0,배가... 고파졌다...
5.0,음식 씹는 소리가 압권!
4.0,"음식을 보여주기 위한 영상
드라마이긴 하지만 식욕과 
음식에 대한 감정의 비중이 압도적으로 높다
늘 맛있게만 그려내는 듯 하지만
어떤 음식인지 보여주는 것에도 충실하다"
3.5,나 왜 이거 계속 보고있지(의아)
3.0,고독한. 하지만 충만한 식사
4.0,"자, 이제 먹방의 고전으로 들어가 보자.."
5.0,난 식탐이 없어서...
4.5,호오오오 우마이! 오이시이! 리어카로 동동주 막파라데스!
4.5,"먹방드라마가 시즌5까지 나오는데는 이유가있는거다 ㅋㅋㅋㅋㅋ
별점 5 쾅쾅 남주아저씨 식도락을 즐기지않으신다던데...좀만더 부탁해요 ㅎㅎㅎ사랑합니다"
3.5,내 스타일이야!
5.0,가볍게 볼 수 있지만 보고 감탄할만한게 많아서 계속 보게되는 드라마
4.0,열심히 드세요~~
3.0,인생 롤모델 40대 아재 고로상.
3.5,밥맛없어보이는 아저씨가 선보이는 예기치않은 푸드포르노
4.5,눈으로 먹을 수 있는 상상의 맛의 즐거움
3.0,"한국에 먹방, 음식 프로그램이 태동하게 해준 원조 먹방 작품!"
5.0,보는 맛이 더 맛있을수도 있다는 걸  알려준 첫번째.
4.0,내 취향은 아니네..
4.0,이아저씨가...원랜 고기안좋아하신다는게 믿겨지십니까?
5.0,맥주 마시면서 보면 개꿀임
4.5,일본문화 훔쳐보기
5.0,이 배우 진짜 잘 먹는다 나까지 배고파짐
3.0,배고프다!!!!
5.0,고독한 미식가 정말 나의 힐링 드라마. 누군가 한끼먹는 모습을 보는 것이 이렇게 힐링 될 줄이야
4.5,ㅋㅋㅋㅋㅋ스토리는 하나도 안보고 음식점 가서 먹는 거랑 마지막에 원작가님이 실제로 가서 먹는 것만 봄. 그걸로 충분. 원작가님이 더 잘 드시는 것 같음. 더 신뢰가 감.
5.0,음식을 씹을 때 입을 다물게 되었다
4.0,"사실은 고독한 대식가...
(고로~♪ 고로~♪ 고로~♪ 이.노.가.시.라♪ 호~!)"
4.0,"우마이.. 
가이세키가 아니어도 충분하다 
미소시루와 밥만 있어도
도쿄에서 느껴진 고로가 걸으며 찾아다니던 밥집"
3.0,"떡갈비 2개하고 피망주세요
내가 이거 때문에 봤다ㅋ"
4.0,"발연기에, 이상한 bgm에, 나이많고 잘생기지도 않은 주인공 아저씨의 이상한 조합인데도 자꾸 보게된다ㅋㅋㅋ"
보고싶어요,"만화스러운 대사를 그대로 써서 보는 내가 부끄러워지는 드라마. 맛있는 일본음식을 보는 재미나 곳곳의 가게와 거리를 보는 재미가 쏠쏠하다. 그런 장점을 제외하면 굉장히 단순한 기획이어서, 노력대비 이익을 낸 것 중에 역대급일 거란 생각이 들었다."
4.5,이상하게 계속 보게되죠
2.5,"한국의 먹방예능 들은 윤기가 좌르르한 음식, 예쁘장하게 꾸민 연예인들이 먹는 모습. 마치 저급한 싸구려 포르노 같다. 그런데 뭔가 다르다. 고독한 미식가는 담백하고 깔끔하다. 명작 에로 영화라고나 할까..?"
4.0,일본에 가고싶은 강한 욕망이 생긴다. ㅌ
4.5,고로 아재와 함께 알아가는 혼밥의 즐거움.
4.0,"사람을 행복하게 하는 한끼가 어떤 것인지 알게 해주는, 그 심심함이 매력"
5.0,"생각보다 많은 지역을 돌아다니면 적당한 영상미를 보여줌
또한 혼밥 할때 보다보면 어느세 나도모르게 ost를 부르고 있음"
3.0,"완벽한 제목, 흐트러짐 없는 주제."
4.5,"대리만족 최고
배고플때 보면 좀 고통스럽다
이후 시즌도 추가좀.."
4.0,우마이
5.0,뭐 이딴게 다있어 라고 보기시작하다가 어느새 시즌1을 끝냈고 아저씨의 팬이 되었다
3.0,"고로~ 고로~ 
실제 있는 가게들이라 더욱 더 정감간다"
4.0,"온 얼굴 근육을 총 동원하여 먹는 고로씨
진정 맛을 즐기는 남자"
5.0,"너무 대충 만든 거 같아서 보다가 좀 짜증나긴 하는데, 고로상이 너무 부럽다. 배고프면 바로 밥집으로 달려갈 수 있고, 오로지 뭐가 맛있을까만 고민하고, 자기만의 표현으로 음미하고."
4.0,"가장 무난한 먹방이 아닐까 생각합니다.
왓챠는 고독한 미식가 시즌 5까지 빨리 업데이트 하라!"
3.5,"넘나 좋은 고로상. 
부디 건강하실 때 까지는 내내 드셔주세요!!"
4.5,"매일 에피소드 한 편씩 전채요리처럼 식전에 보고 있다.
우마이!!
과연 미식가란 남들이 추천해 주는 맛집이라는 델 찾아다니는 게 아닌, 모든 음식을 기쁘게 즐기고 세세한 맛을 즐길 줄 아는 자라는 걸 배운다.
왓챠플레이는 시즌 모두를 구비하지 않고 뭣하는가?!?"
5.0,이이죠 이이죠
3.0,"그런데 갑자기 배가 고파졌다.
이 드라마는 이 대사로 시작함과 동시에 끝난다.
개인적으로 맛있는 음식 먹는 걸 인생에서 큰 의미로 두는 나에게 고마운 드라마다. 얼핏 보면 주인공은 정처없이 돌아다니다가 뜬금없이 배가 고파지고 맛집에 들어가는 레퍼토리라고 생각할 수 있지만 나름대로 그 편에 해당되는 메뉴에 대한 철학이 담겨있다. 
배우의 먹는 연기 또한 일품이라고 느껴지는게, 그저 과하게 음미하는 것이 아니라 나름대로 메뉴마다 차이가 존재한다. 확실히 맛있는 것은 촬영에 상관없이 많이 먹는 것이 눈에 띈다.
주변에 거식증 환자가 있다면 추천하고 싶다."
3.5,"혼밥할 때 나와 함께 겸상하는 고로상! 넘나 맛있게 잘드심ㅋㅋ 
생각보다 대식가인듯! 그래서 팬이 되었어요....♥"
4.5,이 남자는 왜 대체 이렇게나 먹고 살이 안찌는걸까?
4.0,배고파...
3.5,우마이! 도쿄에서 반드시 국물 없는 탄탄멘과 생선 조림을 먹을 것이다!
4.0,우마이!
4.5,배가 고프다 하면서 삥 삥 삥할때 귀엽다
4.5,"이이쟈나이카
이이조이이조
우마이!"
4.0,"먹방은 역시 유우카쨩이랑 고로상이 최고야!!
인상 쓴 아저씨가 이렇게 카와이하고 세쿠시할 수 있다니.. 도키도키"
4.0,"음식과 대사가 인위적으로 화려하지 않더라도
단정하고 정갈함 그 자체만으로 식욕을 돋게 하는 마성"
3.5,배고파!!!!
4.0,어느샌가 앞부분은 안보고 뒤에 우마이 아저씨가 먹방하는 모습만 넘겨보는 나를 발견할 수 있었다.
4.0,벙말 음식하나하나를 먹어보고싶어지게 해주는 유일한 드라마.
4.0,맛있게 먹는 것도 능력이다
5.0,"혼자 음미하면서 즐길 수 있다. 
이기적이고 자유로운 시간이다.
우마이!"
3.5,나를 배고파죽게만드는 드라마
4.0,중년아저씨 밥먹는 모습보며 나도모르게  엄마미소를 지으며  배달앱을 실행한다.
4.0,심심한것 같으면서도 자꾸찾게되는 중독성
4.5,맛없눈게 뭘가
4.0,고로아재 특유의 표정에 중독된다
5.0,새로운 장르의 개척과 상품화
4.0,아저씨가 너무나 맛있게 먹어서 당연 음식을 좋아할줄 알았는데 알고보니 소식가라해서 놀랬다!!두둥!!
4.0,구구절절한 사연 없이 먹는것만 집중하는 구성이 충격적이었다
4.0,고로아재의 매력에 흠뻑 취하다.
4.0,배고플때 보면 죽을맛
3.0,가을웜톤 고로상 ♡ 대식가인듯 혼밥 저렇게 돈쓰면 거덜남
4.5,이 배우는 왜 이렇게 맛있게 먹는거야 대체..
3.5,"특유의 일본식 거추장스럽고 유치한 연기는 불편해도 음식을 먹는것 하나는 맛나게 먹는다.
이런게 먹방이지!"
4.0,BJ 우마이. 전설의 시작.
4.0,일본이 탁월하게 잘 하는 장르.
3.5,이거 보구 피망에 완자 껴서 드셔보신 분들은 좋아요
3.5,다이어트중일때는 시청금지 살찌우고싶을때 보는거 추천
4.0,왠지 배가 고프다.
4.5,담백함이 자극을 능가하는 순간
5.0,배가 고파 졌다
4.0,그져 먹을것만 신경을 쓰는 아저씨인데... 매력쩔어 ㅎㅎㅎ 먹방의 아재
2.0,먹방의 재미를 알게해준 고로.
3.5,먹방 그 전설의 시작.
4.0,소품같은 드라마.
5.0,"1화 도쿄 강동구 몬젠나카쵸 쇼스케 : 츠쿠네 + 피망
닭날개
시즈오카 오뎅
6화 도쿄 나카노구 사기노미야 돈카츠미야코야: 로스마늘구이"
5.0,스토리라고 하기조차 빈약한 내용이지만 범접할수없는 힐링 먹방의 매력만으로 벌써 시즌5까지 나온 드라마.유유자적한 분위기속에서 뭐든 맛있게먹는 고로상을 보고있으면 왠지 나도 배부르고 따뜻해지는 기분마저든다.
5.0,이때부터인가요 전설이 시작된게.
4.0,"부실한 반찬을 벗삼아 초라한 밥상을 
앞에두고 객지에서 자취하던 시절
자린고비의 매달아놓은 굴비마냥 
식욕을 돋구기 위해 시청했던 드라마. 
물에다 밥을 말고 간장을 찍어 먹어도
이 드라마와 함께라면 진수성찬이 안부럽다. 
배고플땐 보지말고 꼭 밥먹을때 보시라~"
4.0,이건 만점이지
3.5,이 드리마 때문에 살 5키로가 쪘다
4.5,꿀잼ㅋㅋㅋㅋㅋㅋ
5.0,먹방이 드라마도 되는구나
4.0,"고로고로를 흥얼거리며, 입맛 다시게 만드는 드라마. 한국영화<출출한 여자>는 이 드라마를 보고 감독이 작정하고 배꼈다만 연출의 한계를 여실히 드러내어 짜증을 유발시킴(?)"
5.0,엄청 맛있겠다!
