평점,리뷰
3.5,주인공들이 죽어나갈 때마다 별점을 쓸어모으더니.
5.0,"개인적으로 시즌1이 제일 좋았다.
전에 없던 세계관의 신선함에 사로잡혀서 정신 없이 빨려들어갔기 때문일까?
무엇보다 매력적인 건 하우스 스타크의 영식영애들과 다이어 울프들의 간의 케미"
5.0,왕좌의 게임을 본사람과는 이상하게 유대감이 생긴다.
5.0,"tv켜시고, 불끄시고, 아무 말 없이
그냥 보세요. 그냥.
두번 보세요."
5.0,"영화인지 드라마인지
대박 쩌는 최고의 명작!"
3.5,드라마에서 판타지를 표현한다는게 가능하구나
3.0,잔인하지만 몰입되고 그 다음이 계속 궁금하다
5.0,"능동적인 여성캐릭터, 복잡하고 모순적인 여성캐릭터를 통해 실제 세상에서의 여성은 이렇다는 걸 보여준다는 것이 인상깊었음. 다른 미디에서 비치는 것 처럼 단순하고 수동적이고 질투만하는 존재가 아니라고."
3.0,"권력을 향한 피와 광기의 시작
시즌7빨리 나와라!! 새븐갤 털자!"
5.0,"시즌1 보다 포기한 이유는 간단하다.
이 시대의 사람들은 목숨이 파리목숨이다. 
게다가 여자들은 살해당하거나 강간당하거나 강간당하고 살해당하거나 이런 선택지밖에 없다.
꼭 봐야해? 뉴스에서도 자주 보는걸?"
4.5,이걸로 미드를 처음 접한 당시 나에게 신세계가 열렸다.
4.0,대서사시의 시작! 철왕좌의 주인은  누규?? 마성의 매력을 가진 미드!!
5.0,"7편부터 본격적 시작...
앞으로 남은 시즌을 생각하면 1시즌 옆편이 모두 떡밥일줄이야..."
5.0,왜 좋아하면 다 죽이냐 ㅠ 내가 너 좋아하면 안되냐!!!!
4.0,세상에없던장르의시작
5.0,용엄마만 봐도 그저좋은.
5.0,마틴 할배 진짜 이러기야?ㅠㅠ
5.0,시상에나
4.0,"제가 왜 이걸 지금봤는지 후회했어요... 
나에게 영업한 친구들아. 고맙다"
5.0,뻔뻔하고 성급한 전개처럼 보이는데도 몰입력 하나만큼은 끝판왕.
2.0,"뒤늦은 덕질. 
아... 빨려들어간다 ㅠㅠ"
5.0,"왜 유명한지, 왜 재미있는지 잘 모르겠다... 전투씬은 안나오고 ""이번에 우리군사 2천명을 잃었어"".. 이런거해지마!해지말라구! 스펙타클을 보여달라!"
4.0,Winter is coming.
5.0,"방대한 인물과 세계관에 적응하면, 작가할배는 충격과 공포, 소름끼치는 재미를 선물로 준다 :-)"
4.5,실종된 나의5일의 시작
5.0,거대한 세계관을 브라운관으로 담아낼수있다는게 신기하기만 하다  빠르고 충격적인  전개와 남자를 위한 미드!   아쉬운건 예산문제로 인한 대규모 전투씬이 별로없다는점 시즌 통틀어서  두세번 정도라는게 안타깝다  그럼에도  불구하고 역시  미드는  HBO
5.0,시즌1
4.5,"질릴 틈이 없는 미드 
영화에서 보여줄수 없는 전개의 구성 
최고라고 표현하고 싶다"
5.0,조프리 ㅂㄷㅂㄷ..!
4.5,망할.....시작해버렸다  진짜 망했다....ㅋ 시즌6까지 한달안에 끝낼 것 같은 이기분....공부해야되는데
5.0,여러가지 의미에서 충격과 공포
5.0,"전설의 시작 크아아아아앙!!
""주인공은 없다""
캐릭터에 애정을 갖지 마라 ㅋㅋㅋㅋㅋ"
5.0,"이걸로 미드를 입문한다면 실수다.
다른 웬만한 미드가 성에 안 찬다.
내가 그렇다."
1.5,전설적인 드라마의 시작. 기.스타크.전.데너리스
4.5,낫마이타입..ㅜ
5.0,"멋진 연출, 깔끔한 연기, 흠 잡을 데 없는 각본.
삼위일체라는 표현이 허락될만한 미드 아닐까.
재미있게 봤다 기 보다는 
다음 편으로 넘어가는 시간조차 아깝다 는 표현이 적절할 성 싶다.
전쟁과 암투, 이성과 감성, 모험과 마법이 조화를 이룬다
빨간머리는 발암이고, 금발은 악역인것인지."
3.5,앉은 자리에서 밤새가며 다 봤던 시즌1
4.0,일촉즉발의 전조를 읽어내는 '중세 판타지 정치 스릴러'.
5.0,"처음에는 뭐가 재밌을까 하고 본 미드
볼수록 내용이 흥미해져서 그다음 편이 기대가 된 미드"
4.0,"반지의제왕 시리즈같은 미술적 개성을 조금 더했더라면 더욱 좋았을,
이 시대 최고의 신드롬"
4.0,"예측불허의 권모술수, 사망자들
결국 존 스노우와 드내리스의 이야기"
4.0,초심을 잃어가는 용엄마.하지만 티리온 믿고 보는 끊을 수 없는 드라마
3.0,함부로 등장인물 좋아하지 말자. 걔부터 죽는다.
5.0,지루한 시작
5.0,조지 마틴's 데스노트의 시작.
5.0,미쿡드라마 스케일 ㄷㄷ
5.0,내 인생 드라마. 원작에 꽤나 충실해서 좋아요
5.0,파일럿 이후 잘못된 점을 뜯어 고친 대담함. 왜 마틴이 이들에게 드라마를 허락했는지 확인할 수 있는 작품. 드라마를 본 자는 원작을 읽어야하며 원작을 읽은 자는 드라마를 봐라
5.0,왕겜 시즌1이 미국에서 시청률이 저조하다는 소식에 양놈들 드라마 보는 감각없다고 욕한거 사죄합니다.
5.0,머야 이 오타쿠스러운 비주얼과 스토리는? 했지만 정신차리고 보니 다음날의 해가뜨고 마지막 에피소드를 보고있었다는 전설의 레전드 미드
5.0,"판타지을 좋아한다면.
숀 빈을 좋아한다면."
5.0,대너리스의 복수는 대 서사시로 아직까지 이루어지지 않았다
5.0,The great beginning
5.0,자극적인 선정성과 방대한 판타지적 상상력 - 이보다 적절한 조합은 없다
5.0,"2016년 : 정신차리니까 시즌1, 시즌2, 시즌3, 시즌4, 시즌5가 끝나있었다 ⊙0⊙
2019년 : 하 진짜 다알고보는데도 이렇게 재밌을 수가 없다."
5.0,"용의어머니의탄생
분노의 스타크가문
혼란의바라테온
정권을잡는 라니스터"
4.5,윈터 이즈 커밍
4.5,내가 본 드라마 엔딩 중 가장 충격적이었다.
5.0,9화 엔딩 뭥미?
5.0,"진짜 십년을 걸쳐서 욕하고 외면하다가 결국 돌아오게 되는 왕겜.... 에휴 모르겠음 이젠 그냥 한마디로 평가하기엔
너무 내 인생의 일부분을 차지한 것같아서...

시즌1은 확실히 올드미드, 웰메이드 미드  특유의 버석함과 담백함이 돋보인다... 그리고 그 안에서 각 인물들의 서사가 차곡차곡 쌓여서, 마지막에 폭발하는데 그게 억지스럽지가 않음

근데 이렇게 잘 만들어봤자 마무리가 망했는데 뭔가 싶다가도,
별안간 다시 벅차오르는 건  진짜 어쩔 수 없나보다.. 에휴"
4.0,작품도 레전드 이걸 이제본 나도 레전드
5.0,아니이거 왜 ott에서 다 사라짐? 웨이브에서 보려고 찜해놨는데 갑자기 사라짐 뭐야 내 왕좌의게임 돌려줘요 보지도못했는데 이런ㅁㅊ
4.5,압도당한다는 말을 그대로 느낀
5.0,“Winter is coming”
5.0,"아껴봤어야 했다,,"
1.5,왕좌의 게임 다시 만들어 주시오.
4.0,오늘부로 스타크 가에 대한 지지를 철회한다. 오늘부터 지지 관계에서 벗어나 스타크 가와 나는 한몸으로 일체가 된다. 스타크 가에 대한 공격은 나에 대한 공격으로 간주한다.
4.5,"내러티브를 이어나가기 힘들 땐, 우선 옷을 벗겨라."
5.0,"내일은 없다는 듯이 달려왔는데, 이것은 서막에 불과하다고 한다."
4.0,명예가 사라진 시기 난세가 도래하고 명예의 씨앗이 심어지니(4.5)
4.0,좋은 드라마와 만화책은 아껴뒀다 가끔씩 한번에 몰아봐야 제맛.
4.5,오타쿠 불로 단단하게 지지는 시리즈 같음 일단 벌써 내가 좋아하던 캐릭터 둘이나 죽음ㅋㅋ ㅋㅋ
4.5,스포일러가 있어요!! 보기
5.0,21년 12월 22일~12월 24일.
5.0,"Moon of my life, My sun and stars."
4.5,판타지가 아니라 생각해서 보길 거부했다. 제대로 알아보지도 않고 순전히 선입견 때문에 명작을 거절하고 살았다. 흙냄새 나고 질퍽이는 중세풍은 다시 보고 싶지 않다는 고집도 내려놓자.
4.0,"ㅜㅜ 이러지마 제발 ㅜㅜ
인물들 이름 헷갈려서 서치 좀 했다가
온갖 스포란 스포는 다 당하는 중 ㅋㅋㅋ ㅜ
누가 죽는지 아직 안 알고 싶다구 😭
근데 사실 알고 봐도 눈물 펑펑이긴 함 ㅋㅋㅋㅋㅋ"
4.5,스포일러가 있어요!! 보기
4.5,"하.. 너무 재밌는데 갈수록 심각하게 발암이네. 어떻게 이렇게 짜증나게 만들지? 근데 또 핫한 사람들 많이 나와서 좋고 대너리스랑 아리아 나올 땐 힐링된다.

보기 싫은 장면 듣기 싫은 대사가 많았다. 여자 좀 그만 벗기면 좋겠고 정상적인 남자들 너무 희귀해서 짜증난다. 매춘과 서자는 기본. 존 스노우야 너는 제발 이대로만 가렴."
1.0,"시즌 1 최애
1위: 티리온 라니스터
2위: 아리아 스타크
3위: 대너리스 타가리옌

죽었으면 좋겠다:조프리 바라테온, 비세리스 타르가르옌

죽을 짓을 했다: 네드 스타크, 비세리스 타르가르옌

다음 시즌을 기대할게: 존 스노우, 아리아 스타크

먹고 살려면 어쩔 수 없지: 리틀핑거

죽지 마: 칼 드로고

드래곤: 귀여움"
4.0,배신판에서 속 살아남기
3.5,"ㄴㅈ
초반노잼이라고해서 묵묵히 시즌3까지 버텨봤는데 걍 노잼인걸로 결론"
4.5,죽음과 영광의 품앞에서 내 몸뚱아리는 칼끝에 서있나니
5.0,아 이런거 내취향 아닌데 라고 생각하는 순간 시즌1이 끝나있음
5.0,이름도 못 외웠는데 죽이면 어떡해요...
5.0,"스케일 개지리는 중세미드라 개재밌는데
발암캐 잔뜩 나와서 죽기만을 고사하게 됨
특히 라니스터 가문 싹 다 싫음 그 조프리랑 여왕이랑 인실졷 되기만을 바람
근데 진짜 거의 주인공격인 에다드를 죽여버리네,,,나름 좋아헀는데
일단 시즌1 최애캐: 스타크 가문(아리아랑 롭) 대너리스 얘네 밖에 없음
몰랐는데 롭 배우 보디가드 배우더라 잘생김ㅎㅎ
나머지 다뒤져
특히 그 샘 돼지 아오 진짜 개답답하고 겁 개많은데 여자만 밝힘 그 특유의 핍박받은 음습한 찐따인데 여자 밝혀서 더 기분나빠 속히 베이컨 되길!
그리고 여혐이 ㄹㅇ 심한 수준이 아니고 그냥 보다보면 화도 안 남ㅋㅋㅋㅋㅋ하도 많이 나와서
일단 매.춘부 절대 못 잃음 한 화당 2-3번은 나옴 ㄹㅇ;
그리고 남자 등장인물들 가지각색으로 다양하게 빻았거나 앵간 생겼는데
여성 등장인물들은 다 미소녀>< 나이 든 중년이라도 미소녀>< 이지.ㄹ나서 ㄹㅇ 버거움
특히 대너리스 원작에서 13살이라며ㅋㅋㅋㅋ그런애를 강.간하다시피 하네
그리고 무슨 말하는게ㅋㅋㅋㅋ13살 여자애 보고 가랑이 벌리고 애를 싸지를 거라는둥 ㄹㅇ 개불쾌함
유일한 빛과 소금은 아리아뿐,,,빨리 커서 USA한남들 도륙내주렴"
3.0,"하 빡쳐서 눈물난건 처음이네 조프리 개새끼
보기전부터 주변에서 약간 스포아닌 스포 당했었지만, 그래도 충격이었다. 내가 본 드라마 중에 탑급,,
자극적이고 야하고 잔인하고 스토리 최고다,,⚔️"
5.0,무조건 봐야함... 개 재밌음 그냥 꼭 보셈...도중에 지루한 장면들이 있긴 하지만 그럴 가치가 있는것들이라 그냥 꼭 보셈...
4.5,내가 만약 드라마를 만든다면 여자와 죽음은 다루지 않을래...
0.5,조프리 개쉐ㄱ..........
4.0,천재 변태들이 평생 오래오래 이런 드라마 만들어 줬으면 좋겠다!
2.5,"나에겐 반지의 제왕, 해리포터와 함께 역대급으로 대단히 재미없는 작품."
4.5,왜 남들 다 볼 때 안보고 이제서야 시작해서 혼자 난리부르스를 떠는가••
4.5,"모두가 좋아하는 작품이지만 이상하게 나는 재미가 없었다.
뭐가 싫은지 딱 꼬집을 순 없지만.. 이상하게도 재미가 없었어.."
2.0,대너리스 이즈 온 퐈이아rrrrr
4.0,개재밌음
4.5,"시대극 안좋아하는데 1917배우 나온데서 한번 도전...
근데 노잼
자꾸 여자들 벗겨서 내보내는데 너무 보기 불편하다
매음굴 장면은 안나오면 어디가 덧나냐?
세계관 이해없는 사람한테 매우 불친절함
원작 책 덕후들은 좋아하겠지만 머글은 영...."
4.5,명실상부한 에다드 스타크의 게임
5.0,막장이라는 장르의 마스터피스
4.0,굉장히 자극적이다 비겁한 걸작이랄까
5.0,"왕이 될수 있었던 미드, 하지만....
자해를 선택,스스로 물러났기에
왕의 자리는 공석 인걸로..."
4.5,검증된 스토리텔링 기법의 왕좌를 뺐는 게임
4.0,"인생드라마!!
아쉬운점을 굳이 쓰진 않겠다ㅎㅎ
완벽한 드라마ㅠㅠ
고등학교때 책까지 다읽었던 정말 애정깊은 드라마!"
0.5,칼 드로고 근손실 안오나
5.0,짜릿해.... 새로워 맨날 죽어.....
4.0,"1화를 보는 60분이 마치 600분 같이 길게 느껴질 정도로 장면 하나 하나가 재미 없었다.
대다수가 재미있다고 모두 다 재미있는 건 아니다.
뭔가 매력이 있으니까 많은 사람들이 보겠지만 난 단 하나의 매력도 느끼지 못했다.
그러니까 개인의 취향은 존중 되어야 한다."
3.0,슈퍼 판타지 역사 드라마
5.0,넓은 세계관으로 오락이 가락
4.5,밥먹으면서 볼만한 드라마는 아니지만 밤새면서 볼만함
5.0,2011년도에 만들어진 영ㅎ..드라마라니
3.5,"단숨에 다봐버림. 2,3년전쯤 처음 봤을때 등장인물도 잘 이해안되고 스토리 배경도 내가 좋아하는 장르가 아니라 1화 20분정도 보다가 껐는데, 이번에 시즌8 나오면서 또 화제가 됐길래 볼 것도 없고 해서 다시 도전해봤는데 재밌네 ㅎㅎ 어느 후기에서 많이 죽고 또 주조연 할 것 없이 누가 죽을지 모르니 등장인물에 정주지 말라고 한거 봤는데, 다보니 무슨말인지 알겠음. 보통 보다보면 아 얘는 살고, 얘는 죽을 것 같다 느낌이 오는데 이건 그런거 없이 스토리대로 감. 그래서 더 몰입해서 볼 수 있었던 걸지도.. 시즌1의 느낌은 내가 미드 “LOST” 처음 봤을 때랑 비슷한 느낌. 시즌1정도면 에필로그 수준일텐데 앞으로 어떤 큰 스토리가 전개될 거고 또 시즌8까지 어떻게 끌고갈지, 너무 궁금하구 기대되기 시작했음. 나는 이제 뒤늦게 보기 시작해서 시즌8까지 안기다리고 쭉 볼 수 있어서 다행인듯. 아니었음 마지막에 저러고 끝났는데 1년을 어찌 기다려 ㅋㅋ"
4.5,전설의 시작
3.5,"다소 불친절한 설정 때문에
지루함, 짜증남, 복잡함이 밀려오지만
스토리의 흡입력이 뛰어나
후반 에피소드 갈수록
풀어져가는 재미가 있다."
3.5,"ㆍ제일 재밌던건 리틀핑거ㆍ바리스ㆍ티리온 정치질할때. 그리고 라니스터들 나올때. ㅡ근본적 카타르시스는 와~멋있다의 감정ㅡ
얘네들 다 속이 음흉하고 빈정대는 것도좋고, 대사로 하는 칼싸움. 
초반에 티리온이 '정보화된 대사'를 관객에게 알려주려고 온갖 사람들한테 빈정거리면서 말거는데, 티리온은 본인위치를 망각하거나 모르고있는 위선적인 태도를 가진 사람들에게 알레르기반응을 갖고있다. 
서자 존, 포로 테온, 장애인 브랜 등등. 그러면서도 귀족이니까 어쩔수없는 특권의식도 숨기지않고 잘나타나있고
이렇게 배경설명도 전달 다하면서 캐릭터 메이킹도 하고, 극전개에 방해도안되는게 정말 신기. 
초반때에도 존스노우ㆍ용엄마ㆍ스타니스ㆍ스타크 애들 이런스토리들은 별로였다. 
ㆍ티리온의 각성을 보여주기 시작하면서 매력급감. 재판장면도 엄청 오글거렸음.
ㅡ티리온은 완성형 캐릭터이기때문에 어줍잖은 성장형캐릭터로 나타나는게 이상?
티리온을 핸드에서 쫒아내고 캐스털리록을 못주는 이유가 
그의 이타적 감성ㆍ반라니스터적 성질ㆍ사실 3남매중 제일 후환이 될 전략가라서였어야함. 그런데 급 너는 내자식으로 인정못한다가 나와서 갈등폭발. 
여기서 이 부자에 대한 이입이 팍 깨졌다. 이거다. 이게 이어져서 재판까지 이어지는것. 아니 겉말자체는 그래도되는데 내적 의미는 정치적인 이유였어야지. 이게 오히려 아들의 내면을 꿰뚫고있는 아버지의 면모를 드러내서 좋잖아. 
OR 이런점에서는 별수없이 옛날 방식의 생각을 할수밖에 없는 사람들이란것? 서세이와 타이윈 다 어머니를 죽이고태어난 저주받은 존재, 라고 하는데 이게 당시엔 상식적인 이데올로기라서 굉장히 근본적인 적대감으로 작용하는지. 근데 이건 관객입장에서 충분히 알아챌만큼 그 규칙의 작용근거를 좀 드러내줘야하는데. 사도 '능행길에 비가 오잔냐'
ㆍ왕겜 초반의 세계는 '명예'라는 규칙이 존재하고, 그걸 지키려고 애쓰거나 배반하려고 애쓰는자들의 이야기다. 규칙 매우중요
ㆍ오그라드는 문어체 명대사가 곳곳에 튀어나오는데 안어색하다. 그런데 한국사극에서도 말투랑 시츄에이션 자체가 경직되있으니 엄청 메이저하게 쓰이지않나?
부당거래ㅡ호의가계속"
3.0,스타크 딸내미들한테 철왕좌 안 주면 다 죽이고 또 죽일거다 감안안도~!~!~~~!!!
3.0,"재밌긴 한데 기대했던 것 만큼은 아니다
매번 기가막힌 타이밍에 끊는데 막상 다음 회에선 맥 없이 이어지는걸 반복함.."
5.0,"겨울이 언제 올지는 아직 모르지만 이걸 보고 있는 내내 현실은 겨울이었고
지금은 봄이 오고 있다.
피의 골짜기를 겨우 벗어난것 같은데 또 다른 거대한
협곡이 가로 막고 있을것 같은 불길한 느낌이 앞선다"
4.5,"개미지옥(다음시즌)에 빠져들기 위한 인내의 시간
혹은 마지막 장면의 카타르시스를 위한 여정"
4.5,"2019/1/31 (재관람)
스타크 가족은 하나같이 다 좋으니까 제발.. 젭알.. 제에발.. 제발루."
5.0,인물에 대한 이입을 적게 하고 옛날 모험담 듣듯이 봐야함
4.5,대너리스♥
5.0,"예상치 못한 스토리 전개로 보면 볼수록 빠져드는 미드. 왕좌의 게임이 왜 최고의 미드 중 하나로 꼽히는지 알 것 같다.
윈터 이스 커밍"
5.0,너무너무 재밌다 ! 내취향이 아니라고 생각했는데 완전 빠져들었다 근데 주인공들 죽는게 너무 슬프다 제발 용엄마는 죽이지 말아줘..
5.0,winter is coming..
4.5,이틀만에 다봤다
4.0,"칼 드로고
에다드 스타크
존 스노우"
4.0,"당연한 정의와 권선징악을 비웃는 현실의 잔혹함
그 안에서 발버둥치며 존재해가는 이들의
""동화"" 가 아닌, ""이야기"" 그 자체"
5.0,뒤늦게 입문...친절하게도. 생긴대로 놓여진 배역들.
4.5,"주위에서 하도 재밌다고 추천했던 드라마였는데 막상 1화를 보니 생각보다 그저 그랬다. 이게 재밌나? 라는 생각으로 시작했는데 어느새 1화가 2화, 5화, 10화가 되어 있었다. 인생 미드 수준은 아니다만 일단 시즌2는 봐야겠다. 연휴 때 힘내서 봐야겠다ㅋㅋㅋㅋㅋ
개인적으로 매력적인 캐릭터는 티리온, 칼, 대너리스 요정도인 것 같다. 시즌2에서의 활약을 기대해봐야겠다. (칼 또르르)"
5.0,인생미드
5.0,"영어공부할라했는데
안됨ㅠㅜ"
4.0,용이엄마
4.5,주인공은 안죽는다는건 집어치워 시즌1
4.0,"낮은 점수를 줄 수 없는 드라마;-;
캐릭터가 느~므 많고 엮이고 엮여서 풀어갈 시간만큼의 시즌이 나올 듯. 
인생드라마는 아니지만 대작인 것은 분명"
4.0,“Winter is coming”
4.5,대너리스 최고...
5.0,미드는 왕좌지~
3.5,스타크 가문이 주인공인줄 알고 시작했으나..
3.0,티비드라마의 역사를 바꾼 작품 마스터피스
2.0,"2018.6.28~7.7/9,10화 하이라이트"
3.5,"왜 이게 그렇게 재밌다는거지??
하고 정신차려보니 어느새 정주행완료
시즌2 달릴 준비"
5.0,진입장벽이 후덜덜
4.0,"""Winter is coming.”"
4.5,"가계도를 그려가며 이야기들 따라 갔는데 그곳에 작은 서사가 판타지 전설과 잘 버무려져 있었다
노동 대비 가성비갑~~^^"
5.0,"음악이 정말 좋음. 순조로운 시작, 다만 초반엔 인기를 위한  자극적인 노이즈 마케팅 아니었나 싶다"
5.0,"드라마처럼 러닝 타임이 무지막지하게 긴 영상물은 흡입력을 갖기 쉽지 않은데, 이건 거기에다 감당하기 힘들만 한 세계관까지 겸했버렸다. 근데, 난 이 드라마가 최고라고 생각한다."
4.5,"이렇게 지루할수가 없다
뉴스룸도 그렇고 나한테 HBO 너무 안맞는것....."
보고싶어요,중세판 인생사 새옹지마
5.0,"왕좌의 게임은 시즌 1이라고 해서 걷지 않는다.
처음부터 최고의 스피드로 미친듯이 달려가는 작품"
5.0,야심을 이루기위한 각자의 방법
3.5,저는 외국에 사는데 볼수가 없네요 ㅠ
5.0,너무 역겨워서 참고 보다가 포기함
3.5,“불”과 “얼음”의 노래
4.5,야하고 잔인한 장면들 때문에 거부감이 들다가 에피소드가 진행될수록 그런것들 따위는 신경도 안쓰이는 깊은 스토리라인의 미드
5.0,와우~~~♡
4.5,끄...끝인가? 라고 생각을 했지
4.0,"1. 주인공인가 싶으면 에브리바디 die or killed.
2. 매력적인 서사와 참신하게 잔인한 씬들의 조합
3. 심신 튼튼 이에게 적극 추천"
5.0,"최애캐가 왕좌에 앉는 것보다
혐캐가 죽는 꼴이 더 보고싶다."
4.5,설명이 필요없지..
4.5,"코멘트 중에 '극 중 인물에 감정을 싣지 않는 법을 배우다'라는 평이 너무 가슴을 후벼판다ㅜㅜ 실제로 과거의 왕정시대가 저랬을까 싶을 정도로 어떻게 저렇게 악하고 잔인할까 싶지만.. 피가 난무하지만 않을 뿐이지 사실 높은 자리를 두고 전쟁하는 건 오늘날이랑 다를게 없을만큼 악한 세상인건 예나 지금이나 똑같다는 생각이다. 그래도 그만큼 악인은 반드시 심판을 받겠지.
앞으로의 이야기가 기대가 되면서도 앞으로 슬프지 않으려면 감정이입을 하지 말아야 하나 싶지만 그래도 응원할래ㅜㅜ 나쁜놈들 최후 보게 해주세요ㅠㅠ"
보고싶어요,"인기없었으면 
보다 말았을 것 같다는
생각도 들었는데
희한하게 계속 궁금해서
희한하게 계속 보게되고
희한하게 계속 생각나고
백귀, 용 캐릭터들이 앞으로
어떤 전개를 이끌어낼지 넘나 궁금함
시즌 어디까지 보게될라나. 어디까지 가봤니
and 풍경들이 넘 멋짐"
4.0,판타지 드라마의 대가
5.0,초반엔 지루할지몰라도 10화를 보는순간 시즌2를 찾는 자신을 발견할수있다.
5.0,리틀핑거 조프리 서세이
5.0,"세계관과 가문들이 어렵기도 하지만, 제 인생 미드입니다~~"
5.0,"시즌1은 지루할수 있다길래 그냥 기대 내려놓고 봤는데 재밌잖아..
나는 에다드가 주인공인줄 알았는데 역시는 역시다
다 죽인다길래 캐릭터에 애정을 안쏟으려했으나
난쟁이는 희안하게 정이간다 용어멈도 좋음 얘넨 앞으로 안죽었으면 좋겠지만
맘처럼 되지않겠지"
5.0,"마지막장면을 위해 10시간을 달렸나보다
이런거 너무좋아 같은게 듬뿍 들어가있는 중세 판타지ㅜㅜ"
2.5,첨에 무슨 뜻인지도 몰랐지만 2번씩 정주행을하거 나니 이제야 내용을 이해하게됨
5.0,1편이 장벽이었지 그 뒤로는 탄력받아서 술술 봐짐 스케일 대박에 자본의 힘이 부러움
4.0,중독성 강해서 보는 걸 멈출 수 없음
5.0,멋있어....최고야....
4.5,자극적인데 재밌다
5.0,다른 미드 찾기가 어렵다
5.0,시작해버렸어....
5.0,발라 모르굴리스
4.5,촘촘하고 예측불가능하고 설득력있고 매력적.
3.5,"모두가 주연이자 조연이다.
중요한건 한 순간도 긴장을 놓쳐서는 안 된다는 것이다.
누가 내 편인지 알 수 없으니."
3.0,"강자가 승리하는것 이 아닌 승리하는자가 강자다.
어떠한 수단과 방법을 동원해서라도"
4.0,통수의 시작
2.5,밤세가며 보게 되는....
4.5,"아,,제발,,최애죽이지마,,"
5.0,이게 그렇게 재밌는지는 모르겠다
4.5,주인공이 아니었어?
5.0,솔직히 처음부터 다 늘어놓아서 1화를 넘기기 힘들었지만 왕좌의 게임은 가면 갈 수록 스펙타클!!! 한 화가 끝날 쯤부터 미친듯이 쪼기 시작하는건 미드 특성인가....
5.0,왕좌의 게임을 볼 때마다 정말 죽음은 누구에게나 언제든 찾아올 수 있다는 게 확확 와닿는다. 정주던 주인공이 언제 죽을지 모른다는 생각으로 보다보면 이렇게 현실적인 드라마가 또 어디있나 싶고.
5.0,종잡을수없는 전개와 재미
3.0,"칼 드로고... <3 No, no, no..."
2.5,불닭볶음면같은 드라마
5.0,조프리 망할놈 아오 저걸 걍 확
5.0,"20.02.09
아.. 다시 보고 있는데 이거 개빡쳐서 어떻게 봤었지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 죽여버리고 싶어.. 화가 많아졌나봐.. 아니네 그렇다기엔 밑에 조프리 죽으라고 하고 있네ㅠㅠ

아.. 진짜 개재밌다 하필 이걸 개강 이틀 전에 접해서 난 이번 학기 조져논 것 같다.. 진짜 .. 진짜.. ㅈ니짜............조프리개새끼.. 빨리 죽어라 글구 스타크 가문 제발 번성하세요 제발요 ,, 다시 일어나세요 제발여"
5.0,여러명의 추천과 격려가 없다면 끝까지 볼 수 없는 시즌1. 시즌 1은 건물을 튼튼히 세우기 위한 토대임을 시즌 1의 마지막화까지 보아야 비로소 깨닫는다
5.0,뭔가 엄청난 일이 일어나고 있는 것 같긴한데.. 전체적인 그림이 머릿속에 들어오지 않는다.
4.5,훌륭한 서막
3.0,야 그래도 동물은 죽이지 마라. ㅠㅠ
보고싶어요,미쳤음 걍보셈  반지의제왕보다 더젬있음  시즌7까지 밤새서 2주 반 안에 끝낼수있음
3.5,띠딘 띠디 띠딘 띠디 띠딘 띠디 띠딘 띠디디~(밤밤 바라밤밤 바라밤밤 바라밤) 띠디 띠디 띠디 띠디 띠디 띠디 띠디 띠디 또로롱~
5.0,인물들에게 정을 안주면 맘편한 드라마는 너가 첨이야
5.0,그만 죽여....
4.0,"왕좌의 게임 시즌1~시즌8까지 언제보노!!
글구-HBO[왕좌의  게임]스핀오프는2020년 이후 공개 예정
5개의 스핀오프 기획
출저:영화수다 - HBO - [왕좌의 게임] 스핀오프는 2020년 이후 공개 예정
 http://me2.do/5scOd5i9
ps:시즌은 한가할때 몰아서 벼락치기 해서  봐야건네^^"
4.0,헐 드뎌 봄!!! 퀄리티 ㄷㄷ하다
4.5,"너를 처음 본 순간
맨붕멘붕멘붕😱😱
시즌7 보기위해서 또 다시 1부터..........."
4.5,시즌1볼당시 시청률 안나와서 시즌2 엎어질지도 모른다고 얘기 나왔었는데 그때 이 드라마 엎어졌으면 내인생 어쩔뻔
4.5,"이다지도 방대하고 훌륭한 세계관과 매력적인 캐릭터들, 그리고 흡입력 넘치는 스토리텔링에 확장성까지 무엇하나 빠지지 않는 대단한 시리즈 극임에도 나는 꽉 찬 별점을 줄 수 없는 점이 아쉬울 뿐이다. 
어린아이를 제외한 주요 젊은 여성 캐릭터들이 극 중 인물로 보이지 않고 그 역할을 맡은 배우로 보이게 하는 매 등장 씬의 올 누드가, 이미 이 극은 일정 부분 여성 캐릭터가 권력을 잡는 성장담임을 알고 정주행을 시작한 나로서도 보는 중 또 다른 생각을 하도록 만든다. 
유명한 남배우들이 주요 씬마다 올 누드로 등장하는 (카메라는 아래에서부터 위로 훑는다) ‘사극’이 만들어졌으면. 
지구 역사의 몇 백, 몇 천년동안을 남자들은 얼마나 재밌게 살아오고 있는가. 
이제 이 정도로 새 시대가 왔으니 성 반전도 일어날 만 하다. 남자들의 소망만큼이나 나 또한 돈만 내면 부담없는 방식으로 잘 익은 남자를 사먹고 싶으니. 물론 좋은 건 같이 하자는 말이 아니고, 그동안 이만큼 니들만 해쳐먹었으니 
이제 그만큼 우리만 해쳐먹겠다는 뜻이다."
5.0,야만의 서사와 풍경
5.0,#최고 #세상엔_두종류의_왕좌의게임을_본_사람과_안_본_사람
